"name","site"
"BoyleA","KNZ"
"BrachoR","BNZ"
"BradfordM","CWT"
"BrandesH","NWT"
"BrantleyS","CWT"
"BrazierR","SEV"
"BreithauptJ","FCE"
"BretharteS","BNZ"
"BreunigM","KBS"
"BrezaL","KBS"
"BricenoH","FCE"
"BrickleyA","NES"
"BriggsC","MCR"
"BriggsJ","KNZ"
"BriggsK","FCE"
"BrinkmanT","BNZ"
"BristolE","BLE"
"BroderickC","KNZ"
"BrokawN","LUQ"
"BrooksA","MCR"
"BrownC","BNZ"
"BrownC","FCE"
"BrownC","CWT"
"BrownJ","JRN"
"BrownJ","VCR"
"BrownM","PAL"
"BrownR","MCM"
"BrownT","FCE"
"BrowningD","JRN"
"BrumJ","PAL"
"BrunJ","NCO"
"BrungardC","JRN"
"BrunsellN","KNZ"
"BryanB","LUQ"
"BrzezinskiM","SBC"
"BuchheimC","HBR"
"BuchsbaumR","PIE"
"BudyP","ARC"
"Bueno De MesquitaC","NWT"
"BuerdsellS","JRN"
"Bulseco McKimA","PIE"
"BurdA","GCE"
"BurdettA","SEV"
"BurgerW","SEV"
"BurgmanR","FCE"
"Burgos-CaraballoS","LUQ"
"BurkeB","CWT"
"BurkepileD","SBC"
"BurnettJ","AND"
"BurnsC","GCE"
"BurrisM","ARC"
"BurrowsJ","BNZ"
"BurrussD","JRN"
"BurtonR","CCE"
"BusbyP","AND"
"BussH","LUQ"
"ButlerV","GCE"
"ByersJ","GCE"
"ByrnesJ","SBC"
"CaceresM","PIE"
"CaceresR","LUQ"
"CadenassoM","BES"
"Cadillo-QuirozH","CAP"
"CahillC","BNZ"
"CaiW","GCE"
"CainJ","PIE"
"CaineT","NWT"
"CaldowC","SBC"
"CaldwellP","CWT"
"CalefM","BNZ"
"CampbellJ","HBR"
"CandeiasM","CWT"
"CannM","HBR"
"CantrellS","LUQ"
"CaplanB","BES"
"CardenasB","ARC"
"CardenasP","SEV"
"CargillS","AND"
"CarlsonC","SBC"
"CarpenterD","CWT"
"CarpenterR","MCR"
"CarrJ","VCR"
"Carriere-GarwoodJ","CCE"
"CarrigyA","SEV"
"CarrilO","SEV"
"CarterT","KNZ"
"CasalT","FCE"
"CaselleJ","NCO"
"CassarN","PAL"
"CastanedaE","FCE"
"CastelaoR","GCE"
"CastoraniM","SBC"
"CastoraniM","VCR"
"CatheyS","CWT"
"CatlettD","SBC"
"CattelinoJ","FCE"
"CavanaughK","SBC"
"Cavender-BaresJ","CDR"
"CawleyK","MCM"
"CaylorK","SEV"
"CecalaK","CWT"
"CelisG","BNZ"
"CerratoJ","SEV"
"ChaiR","NWT"
"ChambersL","FCE"
"ChambersR","FCE"
"ChambleeJ","CWT"
"ChamorroJ","SBC"
"ChandlerR","CWT"
"ChapinF","BNZ"
"ChardonN","NWT"
"CharlesS","FCE"
"Chaves RodriguezF","KNZ"
"ChenC","NES"
"ChenH","SBC"
"ChenJ","KBS"
"ChenM","SBC"
"ChengC","CAP"
"ChengH","KBS"
"ChengY","ARC"
"ChenillatF","CCE"
"ChepsongolR","JRN"
"ChesterM","CAP"
"ChevalierH","LUQ"
"ChicoineT","KBS"
"ChignelS","MCM"
"ChildersD","CAP"
"ChilversM","KBS"
"ChitwoodR","CWT"
"ChiuchioloA","MCM"
"ChristensenK","MCM"
"ChristensonL","HBR"
"ChristianR","VCR"
"Chuc ContrerasA","FCE"
"ChungA","SEV"
"CiblisA","JRN"
"CiminoM","PAL"
"ClareX","SBC"
"ClarkJ","CWT"
"ClarkeA","PAL"
"CleavittN","HBR"
"ClementsC","MCR"
"ClintonP","CWT"
"CoaleT","CCE"
"CocallasA","BNZ"
"CochraneM","HBR"
"CoeK","BNZ"
"CohnG","AND"
"ColburnE","HFR"
"ColdH","BNZ"
"ColeJ","KBS"
"ColemanD","VCR"
"ColemanK","CWT"
"Collado-VidesL","FCE"
"CollinsS","SEV"
"ComparettoK","FCE"
"ConleyD","HBR"
"ConnellK","KNZ"
"ConnersJ","CCE"
"ConroyJ","PAL"
"ContostaA","HFR"
"ConwayA","BNZ"
"CookD","MCR"
"CookE","CAP"
"CookJ","SEV"
"CoonrodJ","SEV"
"CooperB","CWT"
"CooperH","FCE"
"CooperS","SBC"
"CopeJ","PAL"
"Cordero-QuirosN","CCE"
"Coronado-MolinaC","FCE"
"CorreaA","MCR"
"CorsoA","PAL"
"CortC","JRN"
"CortC","SEV"
"CortesA","SBC"
"CoryR","ARC"
"CoseoP","CAP"
"CottenD","GCE"
"CottrellM","PAL"
"CoughlanM","CWT"
"CovichA","LUQ"
"CoyleK","NGA"
"CoyleK",""
"CraftC","GCE"
"CrainG","JRN"
"CrampeE","AND"
"CrenshawC","SEV"
"CrockfordE","NES"
"CrosseyL","SEV"
"CrottyS","GCE"
"CrowlT","LUQ"
"CrumpB","ARC"
"CuevasE","LUQ"
"CumberlandC","SEV"
"CuniL","FCE"
"CunliffeA","SEV"
"CupplesA","KBS"
"CurrasM","SEV"
"CurrierC","JRN"
"CurtrightA","KBS"
"CusackD","LUQ"
"CushingJ","AND"
"CusserS","KBS"
"D AmatoA","HFR"
"D'AntonioC","SBC"
"D'AuriaE","KBS"
"D'OdoricoP","SEV"
"DahmC","SEV"
"DaleyM","LUQ"
"DaltonS","BES"
"DalyA","KBS"
"DalyC","AND"
"DamashekJ","GCE"
"DanielsonS","NGA"
"DanielsonS",""
"DarlingJ","MCM"
"Darrouzet-NardiA","SEV"
"DauhajreD","SBC"
"DavidsonA","SEV"
"DavidsonK","GCE"
"DavidsonM","CAP"
"DavisC","KNZ"
"DavisF","NCO"
"DavisS","MCR"
"DavisS","FCE"
"DazzoF","KBS"
"De VerneilA","CCE"
"DeAngelisK","HFR"
"DeeganL","ARC"
"DelaneyK","BES"
"DelgardM","VCR"
"DenhamS","CWT"
"DennisR","BNZ"
"DennyR","KBS"
"DeshaJ","GCE"
"DeStefanoS","HFR"
"Dettweiler-RobinsonE","SEV"
"DevanM","BNZ"
"DevicheP","CAP"
"DevlinS","MCM"
"Di IorioD","GCE"
"Di LorenzoE","CCE"
"DickmanT","SEV"
"DicksonT","KBS"
"DiFioreB","SBC"
"DiGregorioL","AND"
"DintweK","JRN"
"DoakP","BNZ"
"DobbinsE","NGA"
"DobkowskiJ","ARC"
"DoddsW","KNZ"
"DOdoricoP","VCR"
"DohenyB","SBC"
"DolhyjN","SEV"
"DollJ","KBS"
"DominguezA","JRN"
"DonahueB","HFR"
"DoneyS","PAL"
"DongZ","AND"
"DonnellyB","PIE"
"DooS","MCR"
"DoranP","MCM"
"DouglasT","BNZ"
"DovelS","CCE"
"DowK","BES"
"DowningG","AND"
"DowningJ","BNZ"
"DownsM","NCO"
"DriscollC","HBR"
"DucklowH","PAL"
"DudleyM","CWT"
"DuellE","KNZ"
"DueserR","VCR"
"DuffL","PIE"
"DuffyP","BNZ"
"DuganH","MCM"
"DuganJ","SBC"
"DuncanJ","BES"
"DunleavyH","BNZ"
"DuntonK","BLE"
"DuricM","BNZ"
"DuvalB","SEV"
"DuvallM","VCR"
"EarlS","CAP"
"EbertC","BNZ"
"EckhoffK","KNZ"
"EdgarC","BNZ"
"EdmundsP","MCR"
"EdwardsC","CCE"
"EdwardsM","BNZ"
"EgbolucheN","KBS"
"EggenbergerC","FCE"
"EichhorstK","SEV"
"EinersonJ","AND"
"EliasE","JRN"
"EliasonE","SBC"
"EliasonE","MCR"
"EliasonK","CWT"
"EllenJ","CCE"
"ElliottE","BES"
"ElliottK","CWT"
"EllisonA","HFR"
"ElmendorfS","NWT"
"ElwoodK","NWT"
"EmanuelR","CWT"
"EmbkeH","NTL"
"EmeryB","ARC"
"EmeryK","SBC"
"EmeryM","FCE"
"EmeryN","NWT"
"EmeryS","KBS"
"EngmanA","LUQ"
"EonR","VCR"
"EppsC","AND"
"ErdmannE","PAL"
"EricksonR","CAP"
"ErnakovichJ","ARC"
"ErzJ","SEV"
"EscotoE","JRN"
"EstellR","JRN"
"EuskirchenE","BNZ"
"EvansS","KBS"
"EvelethR","PAL"
"EzzatL","MCR"
"FagharazziS","VCR"
"FagherazziS","PIE"
"FaheyT","LUQ"
"FaheyT","HBR"
"FaisonE","HFR"
"FakhraeiH","HBR"
"FangR","AND"
"FarkasT","SEV"
"FarrerE","NWT"
"FastieC","BNZ"
"FauberD","VCR"
"FeeserK","MCM"
"FeinerZ","NTL"
"FeltonA","KNZ"
"FensterM","VCR"
"FernandesA","VCR"
"FernandesV","SEV"
"FernandezI","HBR"
"Fernandez del VisoD","LUQ"
"FetcherN","ARC"
"FewingsM","SBC"
"FiechterJ","NGA"
"FigueroaA","FCE"
"FikeK","SEV"
"FinchD","SEV"
"FinziA","HFR"
"FischellaM","JRN"
"FischerS","SEV"
"FiskM","HBR"
"FitzC","FCE"
"FitzsimmonsJ","PAL"
"FlemingD","CAP"
"FlesterJ","VCR"
"FloresA","JRN"
"FlowerH","FCE"
"FlowersK","CWT"
"FlukeJ","SEV"
"FongC","MCR"
"ForbrichI","PIE"
"FordP","SEV"
"ForemanC","MCM"
"FormicaA","ARC"
"FosterD","HFR"
"FosterS","SEV"
"FourqureanJ","FCE"
"FowlerR","CWT"
"FoxP","CAP"
"FralickK","KNZ"
"FrankovichT","FCE"
"FranksP","CCE"
"FraserW","PAL"
"FratantoniP","NES"
"FraterrigoJ","CWT"
"FredricksonK","NGA"
"FredricksonK",""
"FrenetteB","KNZ"
"FreyD","AND"
"FreyS","AND"
"FreyS","HFR"
"FriedlaenderA","PAL"
"FriedrichsenC","FCE"
"FriesenC","AND"
"FriesenM","KBS"
"FriggensM","SEV"
"FryJ","KBS"
"FuchsC","MCR"
"FuentesJ","FCE"
"FuentesJ","SEV"
"FulweilerW","HFR"
"FureyG","CDR"
"FurzeM","HBR"
"FussC","HBR"
"GageS","KBS"
"GaiserE","FCE"
"GalbraithS","BES"
"GamboaC","JRN"
"GanioL","AND"
"GannD","FCE"
"GannonM","LUQ"
"GannonW","SEV"
"GaoQ","LUQ"
"GarbeyM","GCE"
"GarciaV","JRN"
"Garcia-PichelF","JRN"
"Garcia-PichelF","SEV"
"GarlickS","HBR"
"GarnelloA","BNZ"
"GaroutteA","KBS"
"GarrittH","PIE"
"GarzioM","PAL"
"GaskinsL","GCE"
"Gastil-BuhlM","MCR"
"GastrichK","FCE"
"GatesR","MCR"
"GaylordB","SBC"
"GebrekidanT","FCE"
"GelfandI","KBS"
"GendronE","NWT"
"GenetH","BNZ"
"GeorgeS","MCM"
"GeorgescuM","CAP"
"GerstnerB","SEV"
"GerstnerB","KBS"
"GervasiC","FCE"
"GherardiL","JRN"
"GiblinA","PIE"
"GidoK","KNZ"
"GillA","CDR"
"GillisL","FCE"
"GintherS","MCR"
"GiordanoG","PIE"
"GlanvilleK","KBS"
"GlickN","HBR"
"GodbeerK","CAP"
"GoerickeR","CCE"
"GoetzS","BNZ"
"GoldbacherD","CCE"
"GoldenH","ARC"
"GoldsmithS","VCR"
"GoldsteinE","VCR"
"Gonzales-PinzonR","SEV"
"GonzalezG","LUQ"
"GoochM","CWT"
"GoodaleC","HBR"
"GoodinD","KNZ"
"GoodridgeB","SBC"
"GooseffM","MCM"
"GoralnikL","AND"
"GordonE","AND"
"GorskyA","FCE"
"GosnellH","AND"
"GoswamiS","HBR"
"GotschalkC","SBC"
"GoughL","ARC"
"GoughertyS","KBS"
"GouldW","LUQ"
"GraceL","JRN"
"GradyK","KBS"
"GragsonT","CWT"
"GrahamK","KBS"
"GrahamL","NTL"
"GrandyS","KBS"
"GranilloK","SEV"
"GrayJ","KNZ"
"GrayP","PAL"
"GreavesH","ARC"
"GreenL","SEV"
"GreenM","HBR"
"GreerG","LUQ"
"GregoryS","CWT"
"GregoryS","AND"
"Greyson-GaitoC","BNZ"
"GriffinK","ARC"
"GriffinN","MCM"
"GriffinS","KBS"
"Griffin-NolanR","KNZ"
"GrimmN","CAP"
"GroffmanP","HBR"
"GrossK","KBS"
"GroveK","FCE"
"GroveM","BES"
"GrupstraC","MCR"
"GuberA","KBS"
"GucwaC","HBR"
"Guerrero-BolanoF","AND"
"GuerriniA","SBC"
"GuinnipJ","KNZ"
"GunturuS","KBS"
"Gutierrez Del ArroyoO","LUQ"
"GutzlerD","SEV"
"Haan-AmatoS","JRN"
"HaasK","KBS"
"HackerK","PIE"
"HaddadN","KBS"
"HadleyA","AND"
"HagenS","PIE"
"HaggertyR","AND"
"HalesT","CWT"
"HalewoodE","SBC"
"HalewoodS","SBC"
"HallB","HFR"
"HallC","LUQ"
"HallJ","LUQ"
"HallJ","HFR"
"HallK","SEV"
"HallS","JRN"
"HallS","CAP"
"HallettL","NWT"
"HallmarkA","SEV"
"HalpernC","AND"
"HamburgS","HBR"
"HamiltonS","KBS"
"HamlowB","AND"
"HammP","SEV"
"HamptonT","KBS"
"HananN","JRN"
"HananN","SEV"
"HandlerA","CAP"
"HaneE","HBR"
"HanksS","KBS"
"HansenC","HBR"
"HaradaA","CCE"
"HardisonE","SBC"
"HarmonM","AND"
"HarmsT","BNZ"
"HarperC","CWT"
"HarrerS","SBC"
"HarringtonJ","KNZ"
"HarrisC","MCM"
"HarrisC","SEV"
"HarrisR","GCE"
"HarrisonC","MCM"
"HarrisonJ","SEV"
"HarrisonJ","HBR"
"HartC","HFR"
"HartnettD","KNZ"
"HartnettH","CAP"
"HarveyB","NWT"
"HasbrouckT","BNZ"
"HattenJ","AND"
"HaukosJ","KNZ"
"HauriC","NGA"
"HauriC","PAL"
"HauschildK","KBS"
"HayM","MCR"
"HaydenB","VCR"
"HayesC","SEV"
"HaynM","PIE"
"HeD","GCE"
"HeQ","GCE"
"HealyM","MCM"
"Heartsill ScalleyT","LUQ"
"HeathK","KBS"
"HedinM","MCM"
"HedstromK","NGA"
"HedstromK",""
"HeinC","NTL"
"HeindelR","MCM"
"HeithausM","FCE"
"HellerA","JRN"
"HellerE","VCR"
"HelmsJ","KBS"
"HenchJ","MCR"
"HenleyS","PAL"
"HenningJ","CDR"
"HenselM","PIE"
"HenshawD","AND"
"Hepinstall-CymermanJ","CWT"
"HerckesP","CAP"
"HermanJ","VCR"
"HermannS","KBS"
"HerndonB","CWT"
"HerreraJ","SEV"
"HerrickJ","SEV"
"HerrickJ","JRN"
"HerrmannL","CAP"
"HestrinR","KBS"
"HeynenN","CWT"
"HeynenN","GCE"
"HiggsS","KNZ"
"HillD","NGA"
"HillD",""
"HillK","BNZ"
"HinckleyE","NWT"
"HladikC","GCE"
"HoD","FCE"
"HobbieE","ARC"
"HobbieJ","ARC"
"HobbieS","CDR"
"HoffmanA","KNZ"
"HofmannG","SBC"
"HofmockelK","KBS"
"HoganA","FCE"
"HoganJ","LUQ"
"HoganS","VCR"
"HolbrookS","SBC"
"HoldenP","SBC"
"HollanderG","FCE"
"HollibaughJ","GCE"
"HollibaughJ","PAL"
"HollingsworthJ","BNZ"
"HollingsworthT","BNZ"
"HollowayS","CWT"
"HolmesR","HBR"
"HolsteinD","MCR"
"HolsteinD","VCR"
"HomJ","BES"
"HondulaD","CAP"
"HoneycuttR","MCR"
"HoogewerfC","GCE"
"HoopesM","HFR"
"HopcroftC","NGA"
"HopcroftC",""
"HopcroftR","NGA"
"HopeA","KNZ"
"HopeyM","CWT"
"HopkinsK","BES"
"HopkinsonC","PIE"
"HopkinsonC","GCE"
"HorneE","KNZ"
"HoshijimaU","SBC"
"HousemanB","BNZ"
"HouserM","KBS"
"HowardB","BNZ"
"Howe-KerrL","MCR"
"HowkinsA","MCM"
"HoytG","LUQ"
"HuF","BNZ"
"HuJ","JRN"
"HuangT","PIE"
"HudsonP","SEV"
"HudsonT","LUQ"
"HuggettB","HFR"
"HughesR","PIE"
"HughesZ","GCE"
"HumphriesH","NWT"
"HunsakerA","HBR"
"HurynA","ARC"
"HussainM","KBS"
"HutchingsJ","BNZ"
"HutchinsonM","SEV"
"HutchinsonS","KNZ"
"HutyraL","HFR"
"HuynhN","SBC"
"HwangT","CWT"
"HyndmanD","KBS"
"HynesA","GCE"
"IannucciF","ARC"
"IannuzziR","PAL"
"Iglesias-RodriguezD","SBC"
"IkenK","BLE"
"InesA","KBS"
"IporacL","FCE"
"IsaacsR","KBS"
"IsaakA","MCR"
"IsbellF","CDR"
"IwaniecD","CAP"
"IyengarS","CDR"
"Jach-SmithL","KBS"
"JacksonR","KBS"
"JacksonR","CWT"
"JacobsA","ARC"
"JaffeR","FCE"
"JamesA","SBC"
"JamesD","JRN"
"JamesR","FCE"
"JandtR","BNZ"
"JareckeK","AND"
"JasinskiB","BNZ"
"JeanM","BNZ"
"JenningsK","NWT"
"JensenC","HBR"
"JensenD","CCE"
"JensenW","KNZ"
"JezyckiK","PIE"
"JhaP","KBS"
"JiR","NES"
"JiW","JRN"
"JillingA","KBS"
"Jimenez RoblesA","VCR"
"JimŽnez RoblesA","VCR"
"JoernA","KNZ"
"JohnA","FCE"
"JohnsonA","BES"
"JohnsonC","CAP"
"JohnsonC","HBR"
"JohnsonD","VCR"
"JohnsonL","BES"
"JohnsonP","NWT"
"JohnsonS","AND"
"JohnsonV","CWT"
"JohnstonC","VCR"
"JohnstonD","PAL"
"JohnstonE","MCR"
"JohnstoneJ","BNZ"
"JolesL","FCE"
"JonesA","AND"
"JonesB","PAL"
"JonesJ","SBC"
"JonesJ","BNZ"
"JonesJ","AND"
"JonesM","NCO"
"JordanM","PIE"
"JordanS","JRN"
"JorgensonM","BNZ"
"JudayG","BNZ"
"JuiceS","HBR"
"JumpponenA","KNZ"
"JustusS","CWT"
"KahmarkK","KBS"
"KahruM","CCE"
"KalraI","MCM"
"KammannS","FCE"
"KaneE","BNZ"
"KarpantyS","VCR"
"KasmerchakC","KBS"
"KasperJ","BLE"
"KassimA","JRN"
"KaufmanD","KNZ"
"KaufmanM","NGA"
"KaufmanM",""
"KaushalS","BES"
"KavanaughM","PAL"
"KayM","SBC"
"KaylorM","AND"
"KazenelM","SEV"
"KearneyW","VCR"
"KearnsP","PIE"
"KeiserA","KBS"
"KelleyA","NCO"
"KellyB","SEV"
"KellyE","FCE"
"KellyJ","GCE"
"KellyJ","JRN"
"KellyS","FCE"
"KellyT","CCE"
"KelsallM","FCE"
"KelseyE","HBR"
"KelseyS","PIE"
"KemmerlingL","KBS"
"KendallA","KBS"
"KennedyA","AND"
"KennedyR","AND"
"KershawM","FCE"
"KhallaghiS","PIE"
"KhallagiS","GCE"
"KiellandK","BNZ"
"KiflaiM","FCE"
"KimB","BLE"
"KimH","AND"
"KimH","PAL"
"KimK","KBS"
"KimbleJ","SEV"
"KimbroD","PIE"
"KimmelD","NGA"
"KimmelD",""
"KimmelK","CDR"
"kingsleyk","BES"
"KinkelL","CDR"
"KinnetzE","KBS"
"KirchmanD","PAL"
"KirschM","FCE"
"KirschnerA","VCR"
"KirwanM","VCR"
"KittredgeD","HFR"
"KittredgeH","KBS"
"KjelvikM","KBS"
"KlingG","ARC"
"KlingbeilB","LUQ"
"KlingesG","MCR"
"KloseK","SBC"
"KnoeppJ","CWT"
"KnopsJ","CDR"
"KnowlesJ","NWT"
"KochG","FCE"
"KochertC","CAP"
"KoenigL","LUQ"
"KoenigsC","SBC"
"KoernerS","KNZ"
"KofinasG","BNZ"
"KohliM","CDR"
"KominoskiJ","FCE"
"KosibaA","HBR"
"KothariS","CDR"
"KozalL","SBC"
"KraskuraK","SBC"
"KraussN","HBR"
"KravchenkoA","KBS"
"KremersK","ARC"
"KrofcheckD","SEV"
"KruegerJ","CDR"
"KruseA","SEV"
"KubyL","CAP"
"KueppersL","NWT"
"KuhlA","KNZ"
"KuiL","SBC"
"KuletzK","NGA"
"KuletzK",""
"KwiatkowskiB","PIE"
"Kyker-SnowmanE","KBS"
"La PierreK","KNZ"
"LaddM","MCR"
"Ladrón de GuevaraM","JRN"
"LadwigL","SEV"
"LagomasinoD","FCE"
"LajthaK","AND"
"Lamb-WottonL","FCE"
"LambertK","HBR"
"LampasonaD","PIE"
"LamyT","SBC"
"LandfieldK","MCR"
"LandisD","KBS"
"LandryM","CCE"
"LaneM","SEV"
"LangA","HBR"
"LangstonA","KNZ"
"LanyN","HBR"
"LanyN","KBS"
"LaphamM","CWT"
"LapszynskiC","VCR"
"LaraA","JRN"
"LarocheC","FCE"
"LarsenG","PAL"
"LarsenM","NTL"
"LarsenM","LUQ"
"LarsonK","CAP"
"LasserG","HBR"
"LauJ","KBS"
"LauM","HFR"
"LauerM","MCR"
"LaundreJ","ARC"
"LaursenG","BNZ"
"LauzonR","VCR"
"LavalleeA","HBR"
"LavoieM","BNZ"
"LawrenceJ","MCM"
"LawsA","KNZ"
"LeachT","SBC"
"LeathermanL","AND"
"LeBoldusJ","AND"
"LeclercM","GCE"
"LedmanJ","BNZ"
"LeeA","GCE"
"LeeD","HBR"
"LeeD","VCR"
"LeeD","FCE"
"LeeR","CWT"
"LeeS","KBS"
"LeeS","FCE"
"LeeT","CDR"
"LeewisM","BNZ"
"LehnhoffE","JRN"
"LeiC","KBS"
"LeichterJ","MCR"
"LeighD","CWT"
"LeighM","BNZ"
"LemoineN","KNZ"
"LenartM","LUQ"
"LenihanH","SBC"
"LentzS","NES"
"LenzP","NGA"
"LenzP",""
"LeonM","LUQ"
"LeonardiN","VCR"
"LermanS","CAP"
"LernerB","HFR"
"LesmeisterD","AND"
"LestakL","NWT"
"LetourneauM","GCE"
"LeuenbergerW","HBR"
"LeviT","AND"
"LevyC","HBR"
"LewisJ","CAP"
"LeydeckerA","SBC"
"LiJ","AND"
"LiJ","SEV"
"LiS","HBR"
"LiW","CAP"
"LiZ","PAL"
"LiangD","KBS"
"LiangG","SEV"
"LiaoH","FCE"
"LiaoY","FCE"
"LiebrechtA","SEV"
"LightfootD","SEV"
"LikensG","HBR"
"LillyL","CCE"
"LinY","PAL"
"LinY","LUQ"
"LindB","JRN"
"LinzA","NTL"
"LippittC","SEV"
"LiptzinD","NWT"
"LitvakM","SEV"
"LiuL","KBS"
"LiuW","GCE"
"LiuX","LUQ"
"LivnehB","NWT"
"LlopizJ","NES"
"LockeD","BES"
"LodgeD","LUQ"
"LoftinS","SEV"
"LongE","VCR"
"LongleyR","KBS"
"LookingbilT","AND"
"LopesC","FCE"
"LopezA","SEV"
"LopezC","LUQ"
"LopezT","LUQ"
"Lopez-CarrD","SBC"
"LoriaK","NWT"
"LougheedV","BLE"
"LoveD","SEV"
"LoveJ","CWT"
"LovettG","HBR"
"LovetteJ","CWT"
"LoweW","HBR"
"LowmanH","SBC"
"LowreyT","SEV"
"LuceM","LUQ"
"LugoA","LUQ"
"LuketichA","SEV"
"LunstrumA","VCR"
"LuoY","SEV"
"LynchK","AND"
"LynchS","SEV"
"LyonsJ","NTL"
"MaS","SBC"
"MaciasD","SEV"
"MacIntyreS","SBC"
"MackM","BNZ"
"MackanessC","AND"
"MacKinnonJ","CCE"
"MackoS","VCR"
"MacphersonG","KNZ"
"MaddenC","FCE"
"MaddenJ","SBC"
"MaerzJ","CWT"
"MagnoliS","KBS"
"MaherB","MCR"
"MahoneyA","BLE"
"MalakhoffK","SBC"
"MalmstromC","KBS"
"MaloneS","FCE"
"ManckL","CCE"
"ManiesK","BNZ"
"ManleyB","GCE"
"ManningG","KNZ"
"MarazziL","FCE"
"Marin-SpiottE","LUQ"
"MarinisD","KBS"
"MarinosR","HBR"
"MaritorenaS","MCR"
"MarkleyL","HBR"
"MarksL","SBC"
"MaronJ","SEV"
